study	fluvoxamine	id	name	m	time	c_mole	c
Jeppesen1996	no	13X	tp	180.16	0.95	0.24	0.04
Jeppesen1996	no	13X	tp	180.16	1.28	0.46	0.08
Jeppesen1996	no	13X	tp	180.16	1.53	0.63	0.11
Jeppesen1996	no	13X	tp	180.16	2.82	0.66	0.12
Jeppesen1996	no	13X	tp	180.16	2.78	0.77	0.14
Jeppesen1996	no	13X	tp	180.16	3.91	0.79	0.14
Jeppesen1996	no	13X	tp	180.16	5.36	0.83	0.15
Jeppesen1996	no	13X	tp	180.16	7.64	0.78	0.14
Jeppesen1996	no	13X	tp	180.16	12.03	0.75	0.14
Jeppesen1996	no	13X	tp	180.16	13.83	0.68	0.12
Jeppesen1996	no	13X	tp	180.16	23.31	0.48	0.09
Jeppesen1996	no	17X	px	180.17	0.60	2.08	0.38
Jeppesen1996	no	17X	px	180.17	0.78	3.89	0.70
Jeppesen1996	no	17X	px	180.17	1.54	4.83	0.87
Jeppesen1996	no	17X	px	180.17	2.00	5.26	0.95
Jeppesen1996	no	17X	px	180.17	2.79	5.74	1.03
Jeppesen1996	no	17X	px	180.17	4.71	6.54	1.18
Jeppesen1996	no	17X	px	180.17	7.16	6.04	1.09
Jeppesen1996	no	17X	px	180.17	11.09	5.05	0.91
Jeppesen1996	no	17X	px	180.17	13.23	4.40	0.79
Jeppesen1996	no	17X	px	180.17	23.15	1.88	0.34
Jeppesen1996	no	37X	tb	180.16	0.00	4.36	0.78
Jeppesen1996	no	37X	tb	180.16	1.05	4.89	0.88
Jeppesen1996	no	37X	tb	180.16	2.47	5.65	1.02
Jeppesen1996	no	37X	tb	180.16	4.44	5.06	0.91
Jeppesen1996	no	37X	tb	180.16	7.25	4.17	0.75
Jeppesen1996	no	37X	tb	180.16	11.49	3.59	0.65
Jeppesen1996	no	37X	tb	180.16	23.10	2.40	0.43
Jeppesen1996	no	137X	caf	194.19	0.50	14.58	2.83
Jeppesen1996	no	137X	caf	194.19	0.79	14.82	2.88
Jeppesen1996	no	137X	caf	194.19	0.90	18.35	3.56
Jeppesen1996	no	137X	caf	194.19	1.83	21.80	4.23
Jeppesen1996	no	137X	caf	194.19	2.08	15.29	2.97
Jeppesen1996	no	137X	caf	194.19	2.75	14.05	2.73
Jeppesen1996	no	137X	caf	194.19	4.27	10.76	2.09
Jeppesen1996	no	137X	caf	194.19	7.13	6.96	1.35
Jeppesen1996	no	137X	caf	194.19	11.45	4.26	0.83
Jeppesen1996	no	137X	caf	194.19	13.64	3.00	0.58
Jeppesen1996	no	137X	caf	194.19	23.88	1.34	0.26
Jeppesen1996	yes	13X	tp	180.16	0.98	0.22	0.04
Jeppesen1996	yes	13X	tp	180.16	1.14	0.39	0.07
Jeppesen1996	yes	13X	tp	180.16	2.12	0.39	0.07
Jeppesen1996	yes	13X	tp	180.16	2.45	0.45	0.08
Jeppesen1996	yes	13X	tp	180.16	3.93	0.47	0.08
Jeppesen1996	yes	13X	tp	180.16	3.92	0.53	0.09
Jeppesen1996	yes	13X	tp	180.16	6.55	0.58	0.10
Jeppesen1996	yes	13X	tp	180.16	8.36	0.69	0.12
Jeppesen1996	yes	13X	tp	180.16	12.14	0.78	0.14
Jeppesen1996	yes	13X	tp	180.16	14.60	0.83	0.15
Jeppesen1996	yes	13X	tp	180.16	24.30	0.98	0.18
Jeppesen1996	yes	13X	tp	180.16	36.46	0.91	0.16
Jeppesen1996	yes	13X	tp	180.16	48.13	0.80	0.14
Jeppesen1996	yes	13X	tp	180.16	72.14	0.65	0.12
Jeppesen1996	yes	13X	tp	180.16	119.32	0.53	0.10
Jeppesen1996	yes	17X	px	180.17	0.46	1.38	0.25
Jeppesen1996	yes	17X	px	180.17	1.76	2.30	0.41
Jeppesen1996	yes	17X	px	180.17	1.93	2.43	0.44
Jeppesen1996	yes	17X	px	180.17	2.75	2.89	0.52
Jeppesen1996	yes	17X	px	180.17	4.72	2.85	0.51
Jeppesen1996	yes	17X	px	180.17	5.87	2.69	0.48
Jeppesen1996	yes	17X	px	180.17	8.34	2.65	0.48
Jeppesen1996	yes	17X	px	180.17	11.95	2.73	0.49
Jeppesen1996	yes	17X	px	180.17	14.09	2.77	0.50
Jeppesen1996	yes	17X	px	180.17	24.60	3.73	0.67
Jeppesen1996	yes	17X	px	180.17	36.94	2.48	0.45
Jeppesen1996	yes	17X	px	180.17	47.95	2.45	0.44
Jeppesen1996	yes	17X	px	180.17	71.30	1.65	0.30
Jeppesen1996	yes	17X	px	180.17	119.14	1.13	0.20
Jeppesen1996	yes	37X	tb	180.16	0.00	11.58	2.09
Jeppesen1996	yes	37X	tb	180.16	0.75	10.49	1.89
Jeppesen1996	yes	37X	tb	180.16	2.40	10.49	1.89
Jeppesen1996	yes	37X	tb	180.16	2.89	11.59	2.09
Jeppesen1996	yes	37X	tb	180.16	4.04	10.64	1.92
Jeppesen1996	yes	37X	tb	180.16	6.18	10.35	1.86
Jeppesen1996	yes	37X	tb	180.16	8.31	11.43	2.06
Jeppesen1996	yes	37X	tb	180.16	11.77	10.65	1.92
Jeppesen1996	yes	37X	tb	180.16	14.89	10.81	1.95
Jeppesen1996	yes	37X	tb	180.16	23.60	8.87	1.60
Jeppesen1996	yes	37X	tb	180.16	35.93	12.31	2.22
Jeppesen1996	yes	37X	tb	180.16	47.27	10.11	1.82
Jeppesen1996	yes	37X	tb	180.16	72.75	10.00	1.80
Jeppesen1996	yes	37X	tb	180.16	119.61	5.62	1.01
Jeppesen1996	yes	137X	caf	194.19	0.75	16.52	3.21
Jeppesen1996	yes	137X	caf	194.19	0.74	21.32	4.14
Jeppesen1996	yes	137X	caf	194.19	2.88	22.89	4.45
Jeppesen1996	yes	137X	caf	194.19	4.20	20.44	3.97
Jeppesen1996	yes	137X	caf	194.19	6.50	19.59	3.80
Jeppesen1996	yes	137X	caf	194.19	8.80	18.26	3.55
Jeppesen1996	yes	137X	caf	194.19	12.42	18.26	3.55
Jeppesen1996	yes	137X	caf	194.19	14.06	17.26	3.35
Jeppesen1996	yes	137X	caf	194.19	23.76	12.65	2.46
Jeppesen1996	yes	137X	caf	194.19	35.60	9.54	1.85
Jeppesen1996	yes	137X	caf	194.19	48.43	6.99	1.36
Jeppesen1996	yes	137X	caf	194.19	71.61	5.43	1.05
Jeppesen1996	yes	137X	caf	194.19	119.45	3.10	0.60

